Id,Id2,Geography,Total,MarginOfError,Year,formattedAddress
0500000US01003,01003,"Baldwin County, Alabama",160354,*****,2005,"Baldwin County, AL, USA"
0500000US01015,01015,"Calhoun County, Alabama",109762,*****,2005,"Calhoun County, AL, USA"
0500000US01043,01043,"Cullman County, Alabama",78888,*****,2005,"Cullman County, AL, USA"
0500000US01049,01049,"DeKalb County, Alabama",66407,*****,2005,"Dekalb County, AL, USA"
0500000US01051,01051,"Elmore County, Alabama",68057,*****,2005,"Elmore County, AL, USA"
0500000US01055,01055,"Etowah County, Alabama",101151,*****,2005,"Etowah County, AL, USA"
0500000US01069,01069,"Houston County, Alabama",93101,*****,2005,"Houston County, AL, USA"
0500000US01073,01073,"Jefferson County, Alabama",641690,*****,2005,"Jefferson County, AL, USA"
0500000US01077,01077,"Lauderdale County, Alabama",85898,*****,2005,"Lauderdale County, AL, USA"
0500000US01081,01081,"Lee County, Alabama",118664,*****,2005,"Lee County, AL, USA"
0500000US01083,01083,"Limestone County, Alabama",67771,*****,2005,"Limestone County, AL, USA"
0500000US01089,01089,"Madison County, Alabama",290875,*****,2005,"Madison County, AL, USA"
0500000US01095,01095,"Marshall County, Alabama",84662,*****,2005,"Marshall County, AL, USA"
0500000US01097,01097,"Mobile County, Alabama",393585,*****,2005,"Mobile County, AL, USA"
0500000US01101,01101,"Montgomery County, Alabama",209374,*****,2005,"Montgomery County, AL, USA"
0500000US01103,01103,"Morgan County, Alabama",112005,*****,2005,"Morgan County, AL, USA"
0500000US01115,01115,"St. Clair County, Alabama",72100,3926,2005,"St Clair County, AL, USA"
0500000US01117,01117,"Shelby County, Alabama",169822,*****,2005,"Shelby County, AL, USA"
0500000US01121,01121,"Talladega County, Alabama",76962,*****,2005,"Talladega County, AL, USA"
0500000US01125,01125,"Tuscaloosa County, Alabama",160947,*****,2005,"Tuscaloosa County, AL, USA"
0500000US01127,01127,"Walker County, Alabama",69096,*****,2005,"Walker County, AL, USA"
0500000US02020,02020,"Anchorage Municipality, Alaska",266281,*****,2005,"Anchorage, AK, USA"
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",83656,*****,2005,"Fairbanks North Star, AK, USA"
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",75001,*****,2005,"Matanuska-Susitna, AK, USA"
0500000US04001,04001,"Apache County, Arizona",68070,*****,2005,"Apache County, AZ, USA"
0500000US04003,04003,"Cochise County, Arizona",120439,*****,2005,"Cochise County, AZ, USA"
0500000US04005,04005,"Coconino County, Arizona",120776,*****,2005,"Coconino County, AZ, USA"
0500000US04013,04013,"Maricopa County, Arizona",3590804,*****,2005,"Maricopa County, AZ, USA"
0500000US04015,04015,"Mohave County, Arizona",185969,*****,2005,"Mohave County, AZ, USA"
0500000US04017,04017,"Navajo County, Arizona",106192,*****,2005,"Navajo County, AZ, USA"
0500000US04019,04019,"Pima County, Arizona",902720,*****,2005,"Pima County, AZ, USA"
0500000US04021,04021,"Pinal County, Arizona",214319,*****,2005,"Pinal County, AZ, USA"
0500000US04025,04025,"Yavapai County, Arizona",194928,*****,2005,"Yavapai County, AZ, USA"
0500000US04027,04027,"Yuma County, Arizona",175793,*****,2005,"Yuma County, AZ, USA"
0500000US05007,05007,"Benton County, Arkansas",184692,*****,2005,"Benton County, AR, USA"
0500000US05031,05031,"Craighead County, Arkansas",84288,*****,2005,"Craighead County, AR, USA"
0500000US05045,05045,"Faulkner County, Arkansas",91784,*****,2005,"Faulkner County, AR, USA"
0500000US05051,05051,"Garland County, Arkansas",91690,*****,2005,"Garland County, AR, USA"
0500000US05069,05069,"Jefferson County, Arkansas",76258,*****,2005,"Jefferson County, AR, USA"
0500000US05119,05119,"Pulaski County, Arkansas",358234,*****,2005,"Pulaski County, AR, USA"
0500000US05125,05125,"Saline County, Arkansas",89380,*****,2005,"Saline County, AR, USA"
0500000US05131,05131,"Sebastian County, Arkansas",116426,*****,2005,"Sebastian County, AR, USA"
0500000US05143,05143,"Washington County, Arkansas",173713,*****,2005,"Washington County, AR, USA"
0500000US05145,05145,"White County, Arkansas",67705,*****,2005,"White County, AR, USA"
0500000US06001,06001,"Alameda County, California",1421308,*****,2005,"Alameda County, CA, USA"
0500000US06007,06007,"Butte County, California",207937,*****,2005,"Butte Valley, CA 95965, USA"
0500000US06013,06013,"Contra Costa County, California",1006486,*****,2005,"Contra Costa County, CA, USA"
0500000US06017,06017,"El Dorado County, California",175790,*****,2005,"El Dorado County, CA, USA"
0500000US06019,06019,"Fresno County, California",858948,*****,2005,"Fresno County, CA, USA"
0500000US06023,06023,"Humboldt County, California",124031,*****,2005,"Humboldt County, CA, USA"
0500000US06025,06025,"Imperial County, California",144523,*****,2005,"Imperial County, CA, USA"
0500000US06029,06029,"Kern County, California",724206,*****,2005,"Kern County, CA, USA"
0500000US06031,06031,"Kings County, California",121418,*****,2005,"Kings County, CA, USA"
0500000US06033,06033,"Lake County, California",63962,*****,2005,"Lake County, CA, USA"
0500000US06037,06037,"Los Angeles County, California",9758886,*****,2005,"Los Angeles County, CA, USA"
0500000US06039,06039,"Madera County, California",134159,*****,2005,"Madera County, CA, USA"
0500000US06041,06041,"Marin County, California",235609,*****,2005,"Marin County, CA, USA"
