Total,Year,ModFIPS
160354.0,2005,01003
169162.0,2006,01003
171769.0,2007,01003
174439.0,2008,01003
179878.0,2009,01003
183195.0,2010,01003
186717.0,2011,01003
190790.0,2012,01003
195540.0,2013,01003
200111.0,2014,01003
203709.0,2015,01003
207865.36363636795,2016,01003
211969.22727273125,2017,01003
216073.09090909548,2018,01003
220176.95454545878,2019,01003
224280.818181823,2020,01003
228384.6818181863,2021,01003
232488.54545455053,2022,01003
236592.40909091383,2023,01003
240696.27272727806,2024,01003
244800.13636364136,2025,01003
109762.0,2005,01015
112903.0,2006,01015
113103.0,2007,01015
113419.0,2008,01015
114081.0,2009,01015
118510.0,2010,01015
117797.0,2011,01015
117296.0,2012,01015
116736.0,2013,01015
115916.0,2014,01015
115620.0,2015,01015
118488.1454545448,2016,01015
119067.33636363572,2017,01015
119646.52727272664,2018,01015
120225.71818181756,2019,01015
120804.90909090848,2020,01015
121384.0999999994,2021,01015
121963.29090909031,2022,01015
122542.48181818123,2023,01015
123121.67272727215,2024,01015
123700.86363636283,2025,01015
78888.0,2005,01043
80187.0,2006,01043
80554.0,2007,01043
81324.0,2008,01043
81778.0,2009,01043
80459.0,2010,01043
80536.0,2011,01043
80440.0,2012,01043
80811.0,2013,01043
81289.0,2014,01043
82005.0,2015,01043
81720.30909091124,2016,01043
81881.7090909112,2017,01043
82043.10909091122,2018,01043
82204.50909091125,2019,01043
82365.90909091121,2020,01043
82527.30909091124,2021,01043
82688.7090909112,2022,01043
82850.10909091122,2023,01043
83011.50909091125,2024,01043
83172.90909091121,2025,01043
66407.0,2005,01049
68014.0,2006,01049
68016.0,2007,01049
68515.0,2008,01049
69380.0,2009,01049
71151.0,2010,01049
71375.0,2011,01049
71080.0,2012,01049
71013.0,2013,01049
71065.0,2014,01049
71130.0,2015,01049
72573.36363635992,2016,01049
73045.49999999627,2017,01049
73517.63636363263,2018,01049
73989.77272726898,2019,01049
74461.90909090545,2020,01049
74934.0454545418,2021,01049
75406.18181817816,2022,01049
75878.31818181451,2023,01049
76350.45454545086,2024,01049
76822.59090908722,2025,01049
68057.0,2005,01051
75688.0,2006,01051
77525.0,2007,01051
78106.0,2008,01051
79233.0,2009,01051
79549.0,2010,01051
80162.0,2011,01051
80629.0,2012,01051
80902.0,2013,01051
80977.0,2014,01051
81468.0,2015,01051
84080.56363635906,2016,01051
85028.89999999525,2017,01051
85977.23636363167,2018,01051
86925.5727272681,2019,01051
87873.90909090452,2020,01051
88822.24545454071,2021,01051
89770.58181817713,2022,01051
90718.91818181355,2023,01051
