STATE,STATEFIPS,ModFIPS,COUNTYFIPS,FIPS,YEAR,TP-TotPop,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
AL,1,01001,1,1001,2000,43.67,10.65,0,10.65,26.6,0,26.6,37.25,0,37.25
AL,1,01003,3,1003,2000,140.42,27.04,0,27.04,7.59,0,7.59,34.63,0,34.63
AL,1,01005,5,1005,2000,29.04,6.36,0,6.36,1.06,0,1.06,7.42,0,7.42
AL,1,01007,7,1007,2000,20.83,4,0,4,0,0,0,4,0,4
AL,1,01009,9,1009,2000,51.02,2.93,0,2.93,29.33,0,29.33,32.26,0,32.26
AL,1,01011,11,1011,2000,11.71,2.59,0,2.59,0.55,0,0.55,3.14,0,3.14
AL,1,01013,13,1013,2000,21.4,3.91,0,3.91,0,0,0,3.91,0,3.91
AL,1,01015,15,1015,2000,112.25,21.05,0,21.05,3.75,0,3.75,24.8,0,24.8
AL,1,01017,17,1017,2000,36.58,0.28,0,0.28,11.98,0,11.98,12.26,0,12.26
AL,1,01019,19,1019,2000,23.99,1.39,0,1.39,4.85,0,4.85,6.24,0,6.24
AL,1,01021,21,1021,2000,39.59,3.71,0,3.71,1.4,0,1.4,5.11,0,5.11
AL,1,01023,23,1023,2000,15.92,1.71,0,1.71,50,0,50,51.71,0,51.71
AL,1,01025,25,1025,2000,27.87,2.53,0,2.53,20.29,0,20.29,22.82,0,22.82
AL,1,01027,27,1027,2000,14.25,0.57,0,0.57,1.1,0,1.1,1.67,0,1.67
AL,1,01029,29,1029,2000,14.12,1.49,0,1.49,0.59,0,0.59,2.08,0,2.08
AL,1,01031,31,1031,2000,43.62,11,0,11,1.76,0,1.76,12.76,0,12.76
AL,1,01033,33,1033,2000,54.98,4.67,0,4.67,1341.36,0,1341.36,1346.03,0,1346.03
AL,1,01035,35,1035,2000,14.09,2.49,0,2.49,0,0,0,2.49,0,2.49
AL,1,01037,37,1037,2000,12.2,0.31,0,0.31,0.34,0,0.34,0.65,0,0.65
AL,1,01039,39,1039,2000,37.63,7.39,0,7.39,21.53,0,21.53,28.92,0,28.92
AL,1,01041,41,1041,2000,13.66,1.95,0,1.95,0.36,0,0.36,2.31,0,2.31
AL,1,01043,43,1043,2000,77.48,0.58,0,0.58,40.91,0,40.91,41.49,0,41.49
AL,1,01045,45,1045,2000,49.13,7.86,0,7.86,0.66,0,0.66,8.52,0,8.52
AL,1,01047,47,1047,2000,46.36,13.42,0,13.42,40.38,0,40.38,53.8,0,53.8
AL,1,01049,49,1049,2000,64.45,2.39,0,2.39,15.69,0,15.69,18.08,0,18.08
AL,1,01051,51,1051,2000,65.87,3.89,0,3.89,2.25,0,2.25,6.14,0,6.14
AL,1,01053,53,1053,2000,38.44,8.35,0,8.35,34.39,0,34.39,42.74,0,42.74
AL,1,01055,55,1055,2000,103.46,5.15,0,5.15,265.36,0,265.36,270.51,0,270.51
AL,1,01057,57,1057,2000,18.5,0.78,0,0.78,2.07,0,2.07,2.85,0,2.85
AL,1,01059,59,1059,2000,31.22,1.8,0,1.8,3.01,0,3.01,4.81,0,4.81
AL,1,01061,61,1061,2000,25.76,2.76,0,2.76,0.93,0,0.93,3.69,0,3.69
AL,1,01063,63,1063,2000,9.97,3.65,0,3.65,357.28,0,357.28,360.93,0,360.93
AL,1,01065,65,1065,2000,17.18,6.01,0,6.01,0,0,0,6.01,0,6.01
AL,1,01067,67,1067,2000,16.31,2.83,0,2.83,1.83,0,1.83,4.66,0,4.66
AL,1,01069,69,1069,2000,88.79,23.76,0,23.76,106.17,0,106.17,129.93,0,129.93
AL,1,01071,71,1071,2000,53.93,2,0,2,1561.33,0,1561.33,1563.33,0,1563.33
AL,1,01073,73,1073,2000,662.05,19.58,0,19.58,83.06,0,83.06,102.64,0,102.64
AL,1,01075,75,1075,2000,15.9,1.9,0,1.9,0.28,0,0.28,2.18,0,2.18
AL,1,01077,77,1077,2000,87.97,2.88,0,2.88,12.16,0,12.16,15.04,0,15.04
AL,1,01079,79,1079,2000,34.8,1.11,0,1.11,58.76,0,58.76,59.87,0,59.87
AL,1,01081,81,1081,2000,115.09,2.07,0,2.07,14.84,0,14.84,16.91,0,16.91
AL,1,01083,83,1083,2000,65.68,3.65,0,3.65,2116.87,0,2116.87,2120.52,0,2120.52
AL,1,01085,85,1085,2000,13.47,1.88,0,1.88,0.55,0,0.55,2.43,0,2.43
AL,1,01087,87,1087,2000,24.1,0.88,0,0.88,3.9,0,3.9,4.78,0,4.78
AL,1,01089,89,1089,2000,276.7,31.22,0,31.22,22.56,0,22.56,53.78,0,53.78
AL,1,01091,91,1091,2000,22.54,5.16,0,5.16,18.24,0,18.24,23.4,0,23.4
AL,1,01093,93,1093,2000,31.21,0.61,0,0.61,4.96,0,4.96,5.57,0,5.57
AL,1,01095,95,1095,2000,82.23,3.53,0,3.53,15.75,0,15.75,19.28,0,19.28
AL,1,01097,97,1097,2000,399.84,39.72,0,39.72,1255.05,0,1255.05,1294.77,0,1294.77
AL,1,01099,99,1099,2000,24.32,21.44,0,21.44,59.07,0,59.07,80.51,0,80.51
AL,1,01101,101,1101,2000,223.51,23.08,0,23.08,23.92,0,23.92,47,0,47
AL,1,01103,103,1103,2000,111.06,4.34,0,4.34,157.29,0,157.29,161.63,0,161.63
AL,1,01105,105,1105,2000,11.86,3.63,0,3.63,0,0,0,3.63,0,3.63
AL,1,01107,107,1107,2000,20.95,3.01,0,3.01,0.36,0,0.36,3.37,0,3.37
AL,1,01109,109,1109,2000,29.6,5.51,0,5.51,1.62,0,1.62,7.13,0,7.13
AL,1,01111,111,1111,2000,22.38,0.88,0,0.88,1.36,0,1.36,2.24,0,2.24
AL,1,01113,113,1113,2000,49.76,1.25,0,1.25,30.47,0,30.47,31.72,0,31.72
AL,1,01115,115,1115,2000,64.74,7.61,0,7.61,0.51,0,0.51,8.12,0,8.12
AL,1,01117,117,1117,2000,143.29,13.93,0,13.93,765.81,0,765.81,779.74,0,779.74
AL,1,01119,119,1119,2000,14.8,2.29,0,2.29,0,0,0,2.29,0,2.29
AL,1,01121,121,1121,2000,80.32,11.11,0,11.11,82.21,0,82.21,93.32,0,93.32
AL,1,01123,123,1123,2000,41.48,0.33,0,0.33,10.97,0,10.97,11.3,0,11.3
AL,1,01125,125,1125,2000,164.88,9.22,0,9.22,25.62,0,25.62,34.84,0,34.84
AL,1,01127,127,1127,2000,70.71,1.43,0,1.43,691.38,0,691.38,692.81,0,692.81
AL,1,01129,129,1129,2000,18.1,11.11,0,11.11,112.78,0,112.78,123.89,0,123.89
AL,1,01131,131,1131,2000,13.18,1.18,0,1.18,23.07,0,23.07,24.25,0,24.25
AL,1,01133,133,1133,2000,24.84,0.81,0,0.81,0,0,0,0.81,0,0.81
